sub_id,face_id,distance,familiar,sex,race,out_degree,in_degree,high,low,notes,,,
B2S-4962c,B2S-3dba2,distance_1,1,male,asian,5,4,0,1,,,,
B2S-4962c,B2S-102e0,distance_1,1,female,asian,5,4,0,1,,,,
B2S-4962c,B2S-f366d,distance_1,1,female,ambiguous,0,5,1,0,,,,
B2S-4962c,B2S-16fa0,distance_1,1,female,white,9,2,1,0,,,,
B2S-4962c,B2S-375d4,distance_1,1,female,white,5,4,0,1,,,,
B2S-4962c,B2S-1dbe5,distance_2,1,female,white,8,3,1,0,,,,
B2S-4962c,B2S-1ee24,distance_2,1,female,white,8,2,0,1,technically HC,,,
B2S-4962c,B2S-183b5,distance_3+,1,NA,NA,0,0,,,,,,
B2S-4962c,B2S-9b381,distance_3+,1,NA,NA,0,0,,,,,,
B2S-4962c,B2S-13243,distance_3+,1,NA,NA,0,0,,,,,,
B2S-4962c,B2S-19b85,distance_3+,1,male,ambiguous,4,6,,,,,,
B2S-4962c,B2S-1bbd4,distance_3+,1,NA,NA,0,0,,,,,,
B2S-4962c,B2S-209f4,distance_3+,1,NA,NA,0,0,,,,,,
B2S-4962c,B2S-1c237,distance_3+,1,male,asian,4,5,,,,,,
B2S-4962c,B2S-723cc,distance_3+,1,female,ambiguous,4,1,,,,,,
B2S-4962c,B2S-1fcc7,distance_3+,1,female,asian,3,0,,,,,,
B2S-4962c,B2S-1edc2,distance_3+,1,NA,NA,0,0,,,,,,
B2S-4962c,B2S-157b3,distance_3+,1,NA,NA,0,0,,,,,,
B2S-4962c,B2S-5cef3,distance_3+,1,NA,NA,0,0,,,,,,
B2S-4962c,B2S-305a2,distance_3+,1,female,asian,2,2,,,,,,
B2S-4962c,B2S-098e2,distance_3+,1,male,ambiguous,3,2,,,,,,
B2S-4962c,B2S-028f7,distance_3+,1,male,ambiguous,2,1,,,,,,
B2S-4962c,B2S-9ac86,distance_3+,1,NA,NA,0,0,,,,,,
B2S-4962c,A7S-add1418,stranger_H,0,female ,white,3,-,1,0,,,,
B2S-4962c,A2N-9e74012,stranger_H,0,female ,ambiguous,2,-,1,0,,,,
B2S-4962c,B4S-5c156,stranger_H,0,female ,ambiguous,3,11,1,0,,,,
B2S-4962c,A2N-4613910,stranger_L,0,female ,asian,0,-,0,1,lab RA,,,
B2S-4962c,A7S-c400719,stranger_L,0,female ,asian,0,-,0,1,lab RA,,,
B2S-4962c,A2N-c172869,stranger_L,0,female ,asian,0,-,0,1,,,,
B2S-4962c,A2N-6be3846 ,stranger_L,0,female ,asian,1,0,0,1,,,,
B2S-4962c,B4S-1389c,stranger_L,0,female ,asian,0,1,0,1,,,,
B2S-4962c,B4S-179d7,stranger_L,0,female ,asian,2,2,0,1,,,,
B2S-4962c,B4S-2928b,stranger_L,0,female ,asian,2,1,0,1,,,,
B2S-4962c,B4S-250d6,stranger_L,0,female ,asian,2,1,0,1,,,,
B2S-4962c,B4S-0937b,stranger_L,0,female ,asian,2,1,0,1,,,,
B2S-305a2,B2S-723cc,distance_1,1,female,ambiguous,4,1,1,0,selected,,,
B2S-305a2,B2S-098e2,distance_1,1,male,ambiguous,3,2,0,1,selected,,,
B2S-305a2,B2S-1c237,distance_2,1,male,asian,4,5,1,0,selected,,,
B2S-305a2,B2S-19b85,distance_2,1,male,ambiguous,4,6,0,1,selected,,,
B2S-305a2,B2S-4962c,distance_3+,1,female,white,7,5,1,,selected,,,
B2S-305a2,B2S-102e0,distance_3+,1,female,asian,5,4,,,,,,
B2S-305a2,B2S-1ee24,distance_3+,1,female,white,8,2,,,,,,
B2S-305a2,B2S-9b381,distance_3+,1,female,asian,3,1,0,,,,,
B2S-305a2,B2S-13243,distance_3+,1,male,asian,2,0,0,,selected,,,
B2S-305a2,B2S-1bbd4,distance_3+,1,ambiguous,black,2,1,0,,,,,
B2S-305a2,B2S-375d4,distance_3+,1,female,white,5,4,,,,,,
B2S-305a2,B2S-1fcc7,distance_3+,1,female,asian,3,0,0,,,,,
B2S-305a2,B2S-3dba2,distance_3+,1,male,asian,5,4,1,,,,,
B2S-305a2,B2S-5cef3,distance_3+,1,NA,NA,0,0,,,,,,
B2S-305a2,B2S-183b5,distance_3+,1,NA,NA,0,0,,,,,,
B2S-305a2,B2S-209f4,distance_3+,1,NA,NA,0,0,,,,,,
B2S-305a2,B2S-1dbe5,distance_3+,1,female,white,8,3,,,,,,
B2S-305a2,B2S-f366d,distance_3+,1,female,ambiguous,0,5,,,,,,
B2S-305a2,B2S-1edc2,distance_3+,1,NA,NA,0,0,,,,,,
B2S-305a2,B2S-157b3,distance_3+,1,NA,NA,0,0,,,,,,
B2S-305a2,B2S-16fa0,distance_3+,1,female,white,9,2,,,,,,
B2S-305a2,B2S-028f7,distance_3+,1,male,ambiguous,2,1,0,,,,,
B2S-305a2,B2S-9ac86,distance_3+,1,male,asian,1,3,0,,,,,
B2S-305a2,A7S-3850722,stranger_H,0,male,asian,2,-,1,0,,,,
B2S-305a2,B4S-5dd42,stranger_H,0,male,asian,3,8,1,0,selected,,,
B2S-305a2,A2N-9e74012,stranger_H,0,female,ambiguous,2,-,1,0,selected,,,
B2S-305a2,B4S-5c156,stranger_H,0,female,ambiguous,3,11,1,0,,,,
B2S-305a2,B4S-28413,stranger_L,0,male,asian,2,3,0,1,selected,,,
B2S-305a2,B4S-98db4,stranger_L,0,male,white,0,1,0,1,,,,
B2S-305a2,B4S-0d005,stranger_H,0,male,white,5,2,1,0,selected,,,
B4S-628d9,B4S-20e50,distance_1,1,female,asian,6,5,,,,,,
B4S-628d9,B4S-5c156,distance_1,1,female,ambiguous,3,11,,,,,,
B4S-628d9,B4S-26f7a,distance_2,1,female,hispanic,5,3,,,,,,
B4S-628d9,B4S-268f7,distance_2,1,female,asian,7,4,,,,,,
B4S-628d9,B4S-20545,distance_2,1,female,hispanic,8,3,,,,,,
B4S-628d9,B4S-0d005,distance_2,1,male,white,5,2,,,,,,
B4S-628d9,B4S-755b1,distance_2,1,female,ambiguous,4,4,,,,,,
B4S-628d9,B4S-5dd42,distance_2,1,male,asian,3,8,,,,,,
B4S-628d9,B4S-250d6,distance_3+,1,female,asian,2,1,,,,,,
B4S-628d9,B4S-950c1,distance_3+,1,NA,NA,0,0,,,,,,
B4S-628d9,B4S-2928b,distance_3+,1,female,asian,2,1,,,,,,
B4S-628d9,B4S-6d036,distance_3+,1,NA,NA,0,0,,,,,,
B4S-628d9,B4S-41f2f,distance_3+,1,NA,NA,0,0,,,,,,
B4S-628d9,B4S-642b3,distance_3+,1,NA,NA,0,0,,,,,,
B4S-628d9,B4S-0937b,distance_3+,1,female,asian,2,1,,,,,,
B4S-628d9,B4S-12fe3,distance_3+,1,female,hispanic,4,1,,,,,,
B4S-628d9,B4S-179d7,distance_3+,1,female,asian,2,2,,,,,,
B4S-628d9,B4S-98db4,distance_3+,1,male,white,0,1,,,,,,
B4S-628d9,B4S-1389c,distance_3+,1,female,asian,0,1,,,,,,
B4S-628d9,B4S-28413,distance_3+,1,male,asian,2,3,,,,,,
B4S-628d9,B4S-96e74,distance_3+,1,female,hispanic,2,1,,,,,,
B4S-628d9,B4S-17383,distance_3+,1,female,white,2,2,,,,,,
B4S-628d9,A7S-3850722,stranger_H,0,male,asian,2,-,1,0,,,,
B4S-628d9,A2N-3c90871,stranger_H,0,female,hispanic,2,-,1,0,,,,
B4S-628d9,A2N-f330811,stranger_H,0,female,hispanic,3,-,1,0,,,,
B4S-628d9,A2N-a4a3154,stranger_H,0,female,hispanic,3,-,1,0,,,,
B4S-628d9,A2N-2273207,stranger_H,0,female,hispanic,5,-,1,0,,,,
B4S-628d9,A2N-4613910,stranger_L,0,female,asian,0,-,0,1,lab RA,,,
B4S-628d9,A7S-c400719,stranger_L,0,female,asian,0,-,0,1,lab RA,,,
B4S-628d9,A2N-c172869,stranger_L,0,female,asian,0,-,0,1,,,,
B4S-628d9,A2N-6be3846,stranger_L,0,female,asian,1,-,0,1,,,,
B4S-628d9,A2N-1dd2972,stranger_L,0,female,ambiguous,0,-,0,1,,,,
B4S-628d9,A2N-e594533,stranger_L,0,female,ambiguous,1,-,0,1,,,,
B4S-628d9,A7S-25a2868 ,stranger_L,0,female,ambiguous,1,-,0,1,,,,
B4S-628d9,A2N-e9b6942,stranger_L,0,female,ambiguous,1,-,0,1,,,,
B4S-628d9,B2S-19b85,stranger_L,0,male,ambiguous,4,6,0,1,,,,
B4S-268f7,B4S-26f7a,distance_1,1,female,hispanic,5,3,0,1,,,,
B4S-268f7,B4S-20545,distance_1,1,female,hispanic,8,3,1,0,,,,
B4S-268f7,B4S-5c156,distance_1,1,female,ambiguous,3,11,1,0,selected,,,
B4S-268f7,B4S-1389c,distance_1,1,female,asian,0,1,0,1,selected,,,
B4S-268f7,B4S-20e50,distance_1,1,female,asian,6,5,0,1,,,,
B4S-268f7,B4S-5dd42,distance_1,1,male,asian,3,8,1,0,alt,,,
B4S-268f7,B4S-0d005,distance_2,1,male,white,5,2,1,0,selected,,,
B4S-268f7,B4S-628d9,distance_2,1,female,hispanic,2,1,0,1,selected,,,
B4S-268f7,B4S-755b1,distance_2,1,female,ambiguous,4,4,1,0,,,,
B4S-268f7,B4S-12fe3,distance_3+,1,female,hispanic,4,1,,,,,,
B4S-268f7,B4S-250d6,distance_3+,1,female,asian,2,1,,,,,,
B4S-268f7,B4S-179d7,distance_3+,1,female,asian,2,2,,,,,,
B4S-268f7,B4S-950c1,distance_3+,1,female,white,1,1,,,,,,
B4S-268f7,B4S-642b3,distance_3+,1,male,white,6,1,,,selected,,,
B4S-268f7,B4S-98db4,distance_3+,1,male,white,0,1,,,,,,
B4S-268f7,B4S-2928b,distance_3+,1,female,asian,2,1,,,,,,
B4S-268f7,B4S-6d036,distance_3+,1,male,asian,2,0,,,,,,
B4S-268f7,B4S-41f2f,distance_3+,1,female,asian,0,1,,,selected,,,
B4S-268f7,B4S-28413,distance_3+,1,male,asian,2,3,,,,,,
B4S-268f7,B4S-96e74,distance_3+,1,female,hispanic,2,1,,,,,,
B4S-268f7,B4S-17383,distance_3+,1,female,white,2,2,,,,,,
B4S-268f7,B4S-0937b,distance_3+,1,female,asian,2,1,,,,,,
B4S-268f7,A2N-3c90871,stranger_H,0,female,hispanic,2,-,1,0,,,,
B4S-268f7,A2N-f330811,stranger_H,0,female,hispanic,3,-,1,0,selected,,,
B4S-268f7,A2N-a4a3154,stranger_H,0,female,hispanic,3,-,1,0,,,,
B4S-268f7,A2N-2273207,stranger_H,0,female,hispanic,5,-,1,0,,,,
B4S-268f7,A2N-9e74012,stranger_H,0,female,ambiguous,2,-,1,0,,,,
B4S-268f7,A7S-3850722,stranger_H,0,male,asian,2,-,1,0,selected,,,
B4S-268f7,B2S-1c237,stranger_H,0,male,asian,4,5,1,0,alt for low,,,
B4S-268f7,B2S-19b85,stranger_H,0,male,ambiguous,4,6,1,0,,,,
B4S-268f7,A2N-4613910,stranger_L,0,female,asian,0,-,0,1,,,,
B4S-268f7,A7S-c400719,stranger_L,0,female,asian,0,-,0,1,lab RA,,,
B4S-268f7,A2N-c172869,stranger_L,0,female,asian,0,-,0,1,selected,,,
B4S-268f7,A2N-6be3846,stranger_L,0,female,asian,1,-,0,1,lab RA,,,
B4S-268f7,B2S-723cc,stranger_L,0,female,ambiguous,4,1,0,1,,,,
B4S-268f7,B2S-f366d,stranger_L,0,female,ambiguous,5,0,0,1,selected,,,
B2S-16fa0,B2S-4962c,distance_1,1,female,white,7,5,1,0,selected,B2S-4962c,Yes,
B2S-16fa0,B2S-1dbe5,distance_1,1,female,white,8,3,1,0,photo needs retaking,B2S-1dbe5,Yes,
B2S-16fa0,B2S-f366d,distance_1,1,female,ambiguous,0,5,0,1,photo needs retaking,B2S-f366d,Yes,
B2S-16fa0,B2S-1ee24,distance_1,1,female,white,8,2,1,0,selected,B2S-1ee24,Yes,
